b,  time,  L1-dcache-load-misses
85,  0.692406851,  387962470
86,  0.693683416,  388660029
87,  0.696613732,  388468689
88,  0.686265140,  385892680
89,  0.676590119,  386413027
90,  0.676903528,  385270915
91,  0.691460207,  392523894
92,  0.694211876,  391376284
93,  0.678029285,  386633343
94,  0.668687518,  385094158
95,  0.674417042,  387947591
96,  0.695692855,  386827920
97,  0.670927496,  386085996
98,  0.685665670,  389637342
99,  0.651985102,  384444403
100,  0.654751519,  384015417
101,  0.642661959,  384094450
102,  0.667603658,  383339638
103,  0.649022924,  381718787
104,  0.700209998,  383341712
105,  0.646573003,  382021519
106,  0.644132792,  386260075
107,  0.631943569,  382388431
108,  0.652586866,  383880494
109,  0.639822677,  381966301
110,  0.635854184,  383130139
111,  0.634116840,  381495573
112,  0.644832961,  381669688
113,  0.628207703,  381257074
114,  0.628688553,  381981658
115,  0.632084638,  382157350
116,  0.615836301,  381148004
117,  0.632778649,  381497448
118,  0.642869743,  386498807
119,  0.613520734,  379389377
120,  0.617666429,  379312274
121,  0.615932786,  380355171
122,  0.609905401,  380452260
123,  0.613618241,  379397964
124,  0.635535835,  386283013
125,  0.601964176,  380487335
126,  0.617971058,  380792420
127,  0.605326756,  380952716
128,  0.614153327,  383748008
129,  0.614715299,  382347798
130,  0.614223998,  381884816
131,  0.603297251,  381493135
132,  0.612225515,  379468072
133,  0.616803507,  380285261
134,  0.599533576,  380512473
135,  0.599730484,  378540922
136,  0.606691257,  381198347
137,  0.606450469,  380667175
138,  0.598817909,  380399941
139,  0.631574376,  386132685
140,  0.593018160,  379455639
141,  0.585229292,  379327636
142,  0.603658883,  380651609
143,  0.606331343,  379890430
144,  0.629621775,  380855067
145,  0.599610490,  378702908
146,  0.638832075,  384667203
147,  0.603486405,  378526269
148,  0.596167710,  377942235
149,  0.600610203,  378740547
150,  0.596999186,  378687939
151,  0.585022211,  378529342
152,  0.597219058,  378364206
153,  0.603043565,  378965330
154,  0.634248390,  378878184
155,  0.615491390,  380816854
156,  0.617472778,  381694836
157,  0.638847019,  380326920
158,  0.629119936,  381823737
159,  0.622333859,  381175957
160,  0.611895079,  380781616
161,  0.641302205,  383764363
162,  0.642007822,  382596395
163,  0.620966403,  380797963
164,  0.611940642,  379805199
165,  0.611030873,  379800142
166,  0.663530867,  385456888
167,  0.645547040,  381710213
168,  0.645887575,  381854925
169,  0.640539764,  381784304
170,  0.687485716,  387334881
171,  0.687719310,  387350206
172,  0.665300577,  381043762
173,  0.670520154,  381150026
174,  0.666768998,  380893895
175,  0.720429644,  386986716
176,  0.692506125,  383633275
177,  0.707421742,  381428679
178,  0.730035869,  388439698
179,  0.703592224,  383009675
180,  0.720394820,  384289018
181,  0.719560050,  381998657
182,  0.719067952,  382813375
183,  0.740297129,  386419191
184,  0.765584977,  389402157
185,  0.729871379,  383564493
186,  0.724579620,  382464593
187,  0.730379959,  384050094
188,  0.752591735,  382823651
189,  0.756513090,  383017554
190,  0.767300004,  382531311
191,  0.747194878,  383500173
192,  0.750078075,  383618067
