matrix_size_list , ave_total_time_list , ave_compu_time_list , ave_commu_time_list
            5440 ,              0.0878 ,              0.0396 ,               0.048
            5520 ,                0.09 ,              0.0412 ,              0.0488
            5600 ,              0.0927 ,               0.043 ,              0.0498
            5680 ,              0.0951 ,              0.0449 ,              0.0502
            5760 ,               0.098 ,               0.047 ,               0.051
            5840 ,              0.1009 ,               0.049 ,              0.0517
            5920 ,              0.1037 ,              0.0511 ,              0.0525
            6000 ,               0.106 ,              0.0533 ,               0.053
            6080 ,              0.1091 ,              0.0558 ,              0.0537
            6160 ,              0.1123 ,              0.0578 ,              0.0547
            6240 ,              0.1158 ,              0.0608 ,              0.0546
            6320 ,              0.1187 ,              0.0628 ,              0.0557
            6400 ,               0.122 ,              0.0652 ,              0.0567
            6480 ,               0.125 ,              0.0677 ,              0.0575
            6560 ,              0.1288 ,              0.0704 ,              0.0584
            6640 ,              0.1319 ,              0.0728 ,               0.059
            6720 ,              0.1353 ,              0.0761 ,              0.0594
            6800 ,               0.139 ,              0.0783 ,              0.0606
            6880 ,              0.1427 ,               0.081 ,              0.0617
            6960 ,              0.1463 ,              0.0842 ,              0.0621
            7040 ,              0.1501 ,              0.0874 ,              0.0627
            7120 ,               0.154 ,              0.0898 ,              0.0642
            7200 ,              0.1579 ,              0.0938 ,              0.0641
            7280 ,              0.1619 ,              0.0968 ,              0.0651
            7360 ,               0.166 ,              0.0993 ,              0.0665
            7440 ,              0.1702 ,              0.1035 ,               0.067
            7520 ,              0.1744 ,              0.1069 ,              0.0675
            7600 ,              0.1789 ,              0.1103 ,              0.0687
            7680 ,              0.1832 ,              0.1139 ,              0.0693
            7760 ,              0.1874 ,              0.1172 ,              0.0704
            7840 ,              0.1924 ,              0.1215 ,              0.0709
            7920 ,              0.1973 ,              0.1258 ,              0.0715
            8000 ,              0.2021 ,              0.1299 ,               0.072
            8080 ,               0.207 ,              0.1327 ,               0.074
            8160 ,              0.2121 ,              0.1373 ,              0.0748
            8240 ,              0.2172 ,              0.1418 ,              0.0756
            8320 ,               0.222 ,              0.1461 ,              0.0763
            8400 ,               0.227 ,              0.1493 ,              0.0777
            8480 ,              0.2326 ,              0.1548 ,              0.0779
            8560 ,              0.2383 ,              0.1594 ,               0.079
            8640 ,              0.2443 ,              0.1648 ,              0.0796
            8720 ,              0.2484 ,              0.1677 ,              0.0809
            8800 ,              0.2536 ,              0.1709 ,              0.0828
            8880 ,              0.2594 ,              0.1767 ,              0.0829
            8960 ,              0.2664 ,              0.1824 ,              0.0837
            9040 ,              0.2722 ,              0.1872 ,              0.0852
            9120 ,              0.2785 ,              0.1923 ,               0.086
            9200 ,              0.2857 ,               0.198 ,              0.0877
            9280 ,              0.2913 ,              0.2026 ,              0.0885
            9360 ,              0.2967 ,              0.2065 ,              0.0899
            9440 ,              0.3031 ,               0.213 ,                0.09
            9520 ,              0.3141 ,              0.2211 ,              0.0931
            9600 ,              0.3163 ,              0.2239 ,              0.0924
            9680 ,              0.3238 ,              0.2297 ,              0.0942
            9760 ,              0.3303 ,              0.2346 ,              0.0957
            9840 ,               0.334 ,              0.2339 ,              0.1003
            9920 ,              0.3389 ,              0.2329 ,              0.1058
           10000 ,               0.346 ,              0.2392 ,              0.1068
           10080 ,              0.3529 ,              0.2447 ,               0.108
           10160 ,                0.36 ,              0.2507 ,              0.1093
           10240 ,              0.3671 ,              0.2567 ,              0.1107
           10320 ,              0.3748 ,              0.2626 ,              0.1123
           10400 ,              0.3816 ,              0.2685 ,              0.1131
           10480 ,              0.3893 ,              0.2741 ,              0.1151
           10560 ,              0.3974 ,              0.2803 ,              0.1171
           10640 ,              0.4044 ,              0.2867 ,              0.1177
           10720 ,              0.4126 ,              0.2934 ,              0.1192
           10800 ,              0.4207 ,              0.3001 ,              0.1206
           10880 ,              0.4285 ,              0.3069 ,              0.1215
           10960 ,              0.4366 ,              0.3136 ,              0.1231
           11040 ,              0.4449 ,              0.3196 ,              0.1253
           11120 ,              0.4533 ,              0.3279 ,              0.1253
           11200 ,              0.4618 ,              0.3348 ,              0.1269
           11280 ,              0.4705 ,               0.342 ,              0.1286
           11360 ,              0.4787 ,               0.348 ,              0.1306
           11440 ,               0.488 ,              0.3561 ,               0.132
           11520 ,              0.4959 ,              0.3629 ,              0.1333
           11600 ,              0.5055 ,              0.3705 ,              0.1347
           11680 ,              0.5146 ,              0.3785 ,              0.1363
           11760 ,               0.524 ,               0.386 ,              0.1379
           11840 ,              0.5328 ,               0.394 ,              0.1392
           11920 ,              0.5424 ,              0.4016 ,              0.1409
           12000 ,              0.5528 ,              0.4099 ,              0.1431
           12080 ,              0.5618 ,              0.4175 ,              0.1441
           12160 ,               0.572 ,              0.4256 ,              0.1463
           12240 ,              0.5819 ,              0.4347 ,              0.1473
           12320 ,              0.5919 ,               0.444 ,              0.1481
           12400 ,              0.6023 ,              0.4518 ,              0.1504
           12480 ,              0.6131 ,              0.4611 ,              0.1519
           12560 ,              0.6236 ,              0.4697 ,              0.1537
           12640 ,              0.6327 ,               0.477 ,              0.1557
           12720 ,              0.6445 ,              0.4885 ,               0.156
           12800 ,              0.6555 ,              0.4982 ,              0.1572
           12880 ,              0.6662 ,              0.5054 ,               0.161
           12960 ,              0.6771 ,              0.5149 ,               0.162
           13040 ,              0.6888 ,              0.5252 ,              0.1634
           13120 ,              0.6995 ,              0.5354 ,              0.1643
           13200 ,              0.7106 ,              0.5444 ,              0.1661
           13280 ,              0.7224 ,              0.5553 ,              0.1673
           13360 ,              0.7352 ,              0.5643 ,              0.1709
           13440 ,              0.7472 ,              0.5761 ,               0.171
           13520 ,              0.7582 ,              0.5855 ,              0.1725
           13600 ,              0.7688 ,               0.595 ,              0.1737
           13680 ,              0.7825 ,              0.6064 ,              0.1761
           13760 ,              0.7953 ,              0.6168 ,              0.1784
           13840 ,              0.8064 ,               0.627 ,              0.1793
           13920 ,              0.8193 ,              0.6359 ,              0.1832
           14000 ,              0.8328 ,              0.6483 ,              0.1844
           14080 ,              0.8455 ,              0.6591 ,              0.1863
           14160 ,              0.8583 ,              0.6708 ,              0.1875
           14240 ,                0.87 ,              0.6807 ,              0.1892
           14320 ,              0.8851 ,              0.6941 ,              0.1908
           14400 ,              0.8976 ,              0.7035 ,               0.194
           14480 ,              0.9113 ,               0.716 ,              0.1952
           14560 ,              0.9252 ,              0.7294 ,              0.1958
           14640 ,              0.9379 ,              0.7404 ,              0.1975
           14720 ,               0.953 ,              0.7511 ,              0.2019
           14800 ,              0.9677 ,              0.7645 ,              0.2034
           14880 ,              0.9809 ,              0.7766 ,              0.2044
           14960 ,              0.9955 ,                0.79 ,              0.2053
           15040 ,              1.0096 ,              0.8018 ,              0.2078
           15120 ,              1.0233 ,              0.8141 ,              0.2092
           15200 ,              1.0387 ,              0.8271 ,              0.2115
           15280 ,              1.0538 ,              0.8396 ,              0.2141
           15360 ,              1.0686 ,               0.852 ,              0.2163
           15440 ,              1.0842 ,               0.866 ,              0.2185
           15520 ,              1.0985 ,              0.8787 ,              0.2198
           15600 ,              1.1147 ,              0.8933 ,              0.2215
           15680 ,              1.1306 ,              0.9053 ,              0.2252
           15760 ,              1.1464 ,              0.9179 ,              0.2283
           15840 ,              1.1614 ,              0.9325 ,              0.2289
           15920 ,              1.1788 ,              0.9482 ,              0.2306
           16000 ,              1.1944 ,              0.9648 ,              0.2292
           16080 ,              1.2113 ,              0.9797 ,              0.2317
           16160 ,              1.2275 ,               0.992 ,              0.2353
           16240 ,              1.2433 ,              1.0038 ,              0.2393
           16320 ,              1.2599 ,              1.0187 ,              0.2411
           16400 ,              1.2768 ,              1.0327 ,              0.2439
           16480 ,               1.294 ,              1.0488 ,              0.2449
           16560 ,              1.3105 ,              1.0625 ,              0.2482
           16640 ,              1.3279 ,              1.0788 ,              0.2491
           16720 ,              1.3464 ,              1.0938 ,              0.2527
           16800 ,              1.3635 ,              1.1088 ,               0.255
           16880 ,              1.3788 ,              1.1246 ,              0.2541
           16960 ,              1.4002 ,              1.1408 ,              0.2594
           17040 ,              1.4178 ,              1.1568 ,               0.261
           17120 ,              1.4356 ,               1.173 ,              0.2628
           17200 ,              1.4535 ,              1.1882 ,               0.265
           17280 ,              1.4719 ,              1.2036 ,              0.2683
           17360 ,              1.4902 ,              1.2219 ,              0.2682
           17440 ,              1.5122 ,              1.2396 ,              0.2727
           17520 ,               1.528 ,              1.2553 ,              0.2726
           17600 ,              1.5489 ,               1.272 ,               0.277
           17680 ,              1.5684 ,              1.2893 ,              0.2789
           17760 ,              1.5876 ,              1.3068 ,              0.2809
           17840 ,              1.6078 ,              1.3238 ,              0.2838
           17920 ,              1.6278 ,              1.3427 ,              0.2852
           18000 ,              1.6486 ,              1.3583 ,               0.291
           18080 ,              1.6669 ,              1.3769 ,              0.2902
           18160 ,               1.689 ,              1.3929 ,               0.296
           18240 ,              1.7088 ,              1.4136 ,               0.295
           18320 ,              1.7285 ,              1.4318 ,              0.2967
           18400 ,              1.7497 ,              1.4497 ,                 0.3
           18480 ,              1.7711 ,              1.4679 ,              0.3031
           18560 ,              1.7933 ,              1.4864 ,              0.3072
           18640 ,              1.8142 ,              1.5066 ,              0.3073
           18720 ,              1.8358 ,              1.5245 ,              0.3111
           18800 ,               1.856 ,              1.5445 ,              0.3114
           18880 ,              1.8793 ,               1.564 ,              0.3152
           18960 ,              1.9017 ,              1.5842 ,              0.3177
           19040 ,               1.923 ,              1.6059 ,              0.3171
           19120 ,              1.9459 ,              1.6226 ,              0.3233
           19200 ,              1.9689 ,              1.6433 ,               0.326
           19280 ,              1.9925 ,              1.6645 ,              0.3279
           19360 ,              2.0153 ,              1.6832 ,               0.332
           19440 ,              2.0376 ,              1.7037 ,               0.334
           19520 ,               2.059 ,              1.7246 ,              0.3346
           19600 ,              2.0828 ,              1.7461 ,              0.3368
           19680 ,              2.1082 ,              1.7674 ,              0.3408
           19760 ,              2.1334 ,              1.7887 ,              0.3448
           19840 ,              2.1573 ,              1.8115 ,              0.3461
           19920 ,              2.1816 ,              1.8321 ,              0.3496
           20000 ,               2.207 ,              1.8543 ,              0.3525
           20080 ,              2.2296 ,              1.8765 ,              0.3533
           20160 ,              2.2557 ,              1.8983 ,              0.3574
           20240 ,              2.2803 ,              1.9203 ,              0.3601
           20320 ,              2.3063 ,              1.9442 ,               0.362
           20400 ,                2.33 ,              1.9642 ,              0.3659
           20480 ,              2.3549 ,              1.9884 ,              0.3666
           20560 ,               2.383 ,              2.0117 ,              0.3712
           20640 ,                2.41 ,              2.0349 ,              0.3749
           20720 ,              2.4326 ,              2.0594 ,              0.3731
           20800 ,              2.4615 ,              2.0806 ,              0.3808
           20880 ,              2.4868 ,              2.1079 ,              0.3789
           20960 ,              2.5132 ,              2.1302 ,              0.3828
           21040 ,              2.5389 ,              2.1537 ,              0.3852
           21120 ,              2.5676 ,              2.1785 ,              0.3891
           21200 ,              2.5964 ,              2.2025 ,              0.3936
           21280 ,              2.6222 ,              2.2276 ,              0.3948
           21360 ,               2.648 ,              2.2531 ,              0.3949
           21440 ,              2.6777 ,              2.2767 ,              0.4012
           21520 ,              2.7056 ,              2.3006 ,               0.405
           21600 ,              2.7334 ,               2.328 ,              0.4055
           21680 ,              2.7611 ,              2.3519 ,              0.4092
           21760 ,              2.7878 ,              2.3789 ,              0.4089
           21840 ,              2.8182 ,              2.4051 ,              0.4129
           21920 ,              2.8486 ,              2.4301 ,              0.4184
           22000 ,               2.877 ,              2.4568 ,              0.4204
           22080 ,              2.9068 ,              2.4801 ,              0.4267
           22160 ,              2.9383 ,              2.5082 ,              0.4299
           22240 ,              2.9651 ,              2.5368 ,              0.4286
           22320 ,              2.9956 ,              2.5646 ,               0.431
           22400 ,              3.0261 ,              2.5916 ,              0.4343
           22480 ,               3.055 ,              2.6183 ,              0.4367
           22560 ,              3.0892 ,              2.6461 ,               0.443
           22640 ,              3.1199 ,              2.6738 ,              0.4459
           22720 ,              3.1496 ,              2.7012 ,              0.4484
           22800 ,              3.1806 ,              2.7302 ,              0.4504
           22880 ,              3.2092 ,              2.7581 ,              0.4511
           22960 ,              3.2425 ,              2.7866 ,               0.456
           23040 ,              3.2733 ,              2.8179 ,              0.4555
           23120 ,              3.3078 ,              2.8459 ,              0.4624
           23200 ,              3.3399 ,              2.8747 ,              0.4653
           23280 ,              3.3718 ,              2.9029 ,               0.469
           23360 ,              3.4057 ,              2.9332 ,              0.4724
           23440 ,                3.44 ,              2.9626 ,              0.4776
           23520 ,              3.4715 ,              2.9932 ,              0.4787
           23600 ,              3.5044 ,              3.0245 ,              0.4798
           23680 ,              3.5361 ,               3.053 ,               0.483
           23760 ,              3.5672 ,              3.0842 ,              0.4828
           23840 ,              3.6059 ,              3.1163 ,              0.4897
           23920 ,              3.6393 ,              3.1474 ,              0.4919
           24000 ,              3.6724 ,              3.1766 ,              0.4956
           24080 ,              3.7078 ,              3.2088 ,              0.4989
           24160 ,              3.7425 ,               3.238 ,              0.5048
           24240 ,              3.7778 ,              3.2703 ,              0.5075
           24320 ,              3.8131 ,              3.3026 ,              0.5105
           24400 ,              3.8477 ,              3.3348 ,              0.5131
           24480 ,              3.8851 ,               3.369 ,              0.5159
           24560 ,              3.9193 ,              3.4019 ,              0.5173
           24640 ,              3.9559 ,              3.4359 ,              0.5201
           24720 ,              3.9925 ,              3.4677 ,              0.5246
           24800 ,              4.0304 ,              3.5006 ,                0.53
           24880 ,              4.0627 ,              3.5342 ,              0.5285
           24960 ,              4.1021 ,              3.5676 ,              0.5348
           25040 ,              4.1388 ,              3.6013 ,              0.5376
           25120 ,              4.1781 ,               3.636 ,              0.5421
           25200 ,              4.2133 ,              3.6689 ,              0.5442
           25280 ,              4.2548 ,              3.7045 ,              0.5502
           25360 ,              4.2911 ,                3.74 ,              0.5512
           25440 ,              4.3307 ,              3.7741 ,              0.5566
           25520 ,              4.3656 ,               3.808 ,              0.5573
           25600 ,              4.4077 ,              3.8466 ,              0.5612
           25680 ,              4.4436 ,              3.8812 ,              0.5621
           25760 ,              4.4841 ,              3.9187 ,              0.5654
           25840 ,              4.5236 ,              3.9508 ,              0.5726
           25920 ,              4.5633 ,              3.9887 ,              0.5748
           26000 ,              4.6009 ,              4.0263 ,              0.5746
           26080 ,              4.6441 ,                4.06 ,              0.5839
           26160 ,              4.6837 ,              4.0985 ,              0.5851
           26240 ,               4.726 ,              4.1358 ,              0.5901
           26320 ,              4.7663 ,              4.1761 ,              0.5903
           26400 ,              4.8089 ,              4.2141 ,              0.5946
           26480 ,              4.8488 ,              4.2505 ,              0.5982
           26560 ,              4.8914 ,              4.2877 ,              0.6039
           26640 ,              4.9302 ,              4.3274 ,              0.6027
           26720 ,              4.9773 ,              4.3633 ,              0.6139
           26800 ,              5.0184 ,              4.4072 ,              0.6111
           26880 ,              5.0616 ,              4.4444 ,              0.6171
           26960 ,              5.0977 ,              4.4831 ,              0.6148
           27040 ,              5.1462 ,              4.5187 ,              0.6274
           27120 ,              5.1903 ,              4.5591 ,              0.6313
           27200 ,              5.2359 ,              4.6041 ,              0.6321
           27280 ,              5.2757 ,              4.6409 ,              0.6347
           27360 ,              5.3193 ,              4.6798 ,              0.6394
           27440 ,              5.3646 ,              4.7203 ,              0.6443
           27520 ,              5.4092 ,               4.764 ,               0.645
           27600 ,              5.4551 ,              4.8023 ,              0.6529
           27680 ,              5.4953 ,              4.8467 ,              0.6486
           27760 ,              5.5426 ,              4.8908 ,              0.6517
           27840 ,              5.5889 ,              4.9309 ,               0.658
           27920 ,              5.6373 ,              4.9691 ,              0.6683
           28000 ,              5.6849 ,              5.0178 ,              0.6672
           28080 ,              5.7264 ,              5.0527 ,              0.6739
           28160 ,              5.7706 ,              5.1005 ,                0.67
           28240 ,              5.8242 ,              5.1375 ,              0.6867
           28320 ,              5.8682 ,              5.1863 ,              0.6821
           28400 ,              5.9158 ,              5.2263 ,              0.6894
           28480 ,              5.9618 ,              5.2702 ,              0.6913
           28560 ,              6.0086 ,              5.3191 ,              0.6895
           28640 ,              6.0568 ,              5.3604 ,              0.6966
           28720 ,              6.1042 ,              5.4074 ,              0.6972
           28800 ,              6.1603 ,              5.4545 ,              0.7059
           28880 ,              6.2041 ,              5.4997 ,              0.7043
           28960 ,               6.253 ,              5.5419 ,               0.711
           29040 ,              6.3023 ,              5.5884 ,              0.7139
           29120 ,              6.3569 ,              5.6335 ,              0.7234
           29200 ,              6.4012 ,               5.678 ,              0.7231
           29280 ,              6.4543 ,              5.7251 ,              0.7292
           29360 ,               6.501 ,              5.7678 ,              0.7333
           29440 ,              6.5525 ,              5.8131 ,              0.7396
           29520 ,              6.6083 ,              5.8666 ,              0.7416
           29600 ,              6.6528 ,              5.9135 ,              0.7392
           29680 ,              6.7088 ,              5.9587 ,              0.7502
           29760 ,              6.7597 ,              6.0075 ,              0.7522
           29840 ,              6.8099 ,              6.0525 ,              0.7572
           29920 ,              6.8584 ,               6.105 ,              0.7533
           30000 ,              6.9148 ,              6.1511 ,              0.7639
